lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,45.4840356,-73.5447724,plane,6013,Zürich➡Montreal
45.4840356,-73.5447724,45.4234783,-75.6933821,car,200,Montreal➡Ottawa
45.4234783,-75.6933821,43.6603185,-79.3880431,car,450,Ottawa➡Toronto
43.6603185,-79.3880431,43.0934462,-79.0878436,car,128,Toronto➡Niagara Falls
43.0934462,-79.0878436,46.5333083,-84.427483,car,800,Niagara Falls➡Sault Ste. Marie
46.5333083,-84.427483,48.3820121,-89.2263067,car,700,Sault Ste. Marie➡Thunder Bay
48.3820121,-89.2263067,49.8661231,-97.1007604,car,703,Thunder Bay➡Winnipeg
49.8661231,-97.1007604,51.0583769,-114.0609465,car,1329,Winnipeg➡Calgary
51.0583769,-114.0609465,52.8713902,-118.0907219,car,413,Calgary➡Jasper
52.8713902,-118.0907219,49.271186,-123.112474,car,796,Jasper➡Vancouver
49.2793748,-123.1567416,39.9010207,116.4037538,plane,8515,Vancouver➡Beijin
