lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,47.567282,7.5869083,train,80,Zürich-Basel
47.567282,7.5869083,50.1007583,8.6691571,train,310,Basel-Frankfurt
50.1007583,8.6691571,52.5291686,13.3884161,train,432,Frankfurt-Berlin
52.5291686,13.3884161,52.4035849,16.9244246,train,240,Berlin-Posen
52.4035849,16.9244246,52.2126617,20.9753407,train,320,Posen-Warschau
52.2126617,20.9753407,52.1010045,23.7047125,train,190,Warschau-Brest
52.1010045,23.7047125,53.8856229,27.5301115,train,350,Brest-Minsk
53.8856229,27.5301115,54.7873244,32.0266745,train,300,Minsk-Smolensk
54.7873244,32.0266745,55.7627962,37.6000033,train,402,Smolensk-Moskau
55.7627962,37.6000033,51.1486958,71.4196493,train,2271,Moskau-Astana
51.1486958,71.4196493,43.2908095,76.8335441,train,1291,Astana-Almaty
43.2908095,76.8335441,43.7512185,87.639027,car,980,Almaty-Urumqi
43.7512185,87.639027,42.9463564,89.1049203,car,174,Urumqi-Turpan
42.9463564,89.1049203,36.0685555,103.8060697,train,1300,Turpan-Langzhou
36.0685555,103.8060697,34.368544,108.9135007,train,600,Langzhou-Xi'An
34.368544,108.9135007,39.9014596,116.3922133,train,1000,Xi'An-Beijin
