lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,47.567282,7.5869083,train,80,Zürich-Basel
47.567282,7.5869083,50.1007583,8.6691571,train,310,Basel-Frankfurt
50.1007583,8.6691571,52.5291686,13.3884161,train,432,Frankfurt-Berlin
52.5291686,13.3884161,52.4035849,16.9244246,train,240,Berlin-Posen
52.4035849,16.9244246,52.2126617,20.9753407,train,320,Posen-Warschau
52.2126617,20.9753407,52.1010045,23.7047125,train,190,Warschau-Brest
52.1010045,23.7047125,53.8856229,27.5301115,train,350,Brest-Minsk
53.8856229,27.5301115,54.7873244,32.0266745,train,300,Minsk-Smolensk
54.7873244,32.0266745,55.7627962,37.6000033,train,402,Smolensk-Moskau
55.7627962,37.6000033,58.0159812,56.1978953,train,1400,Moskau-Perm
58.0159812,56.1978953,56.8349894,60.5507293,train,363,Perm-Ekaterinburg
56.8349894,60.5507293,54.9145075,73.2042029,train,940,Ekaterinburg-Omsk
54.9145075,73.2042029,55.0184302,83.0083697,train,650,Omsk-Novosibirsk
55.0184302,83.0083697,56.0132039,92.7667424,train,780,Novosibirsk-Krasnoyarsk
56.0132039,92.7667424,52.294107,104.2405427,train,1060,Krasnoyarsk-Irkuts
52.294107,104.2405427,51.8209417,107.5368935,train,1500,Irkuts-Ulan Ude
51.8209417,107.5368935,52.0378787,113.4144682,train,600,Ulan Ude-Tschita
52.0378787,113.4144682,45.7830955,126.6276813,train,1300,Tschita-Harbin
45.7830955,126.6276813,39.9010207,116.4037538,train,1200,Harbin-Beijin
