lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,4.6317642,-74.0506802,plane,9033,Zürich-Bogota
4.6317642,-74.0506802,6.2466514,-75.5876366,car,418,Bogota-Medellin
6.2466514,-75.5876366,3.4529448,-76.5447374,car,422,Medellin-Cali
3.4529448,-76.5447374,-0.1730416,-78.481836,car,720,Cali-Quito
-0.1730416,-78.481836,-2.1709291,-79.9194017,car,433,Quito-Guayaquil
-2.1709291,-79.9194017,-16.5173187,-68.1784961,plane,2040,Guayaquil-La Paz
-16.5173187,-68.1784961,-17.7789389,-63.1794983,car,861,La Paz-Santa Cruz de la Sierra
-17.7789389,-63.1794983,-25.2186721,-57.6153023,car,1317,Santa Cruz de la Sierra-Asunción
-25.2186721,-57.6153023,-23.4862497,-46.6519576,car,1347,Asunción-Sao Paulo
-23.4862497,-46.6519576,-22.9043623,-43.1958393,car,434,Sao Paulo-Rio de Janeiro
-22.9043623,-43.1958393,47.3638955,8.4985941,plane,9349,Rio de Janeiro-Zürich
