lat1,long1,lat2,long2,mode,distance,comment
47.3638955,8.4985941,48.2034769,16.3085256,train,700,Zürich➡Vienna
48.2034769,16.3085256,48.1334275,17.0865069,train,60,Vienna➡Bratislava
48.1334275,17.0865069,47.496904,19.0357128,train,190,Bratislava➡Budapest
47.496904,19.0357128,44.4577529,26.0229496,train,840,Budapest➡Bucharest
44.4577529,26.0229496,41.0301217,28.9145322,train,640,Bucharest➡Istanbul
41.0301217,28.9145322,39.9378833,32.8247237,train,450,Istanbul➡Ankara
39.9378833,32.8247237,38.7198751,35.4557464,train,316,Ankara➡Kayseri
38.7198751,35.4557464,39.4513541,37.0608848,train,202,Kayseri➡Sivas
39.4513541,37.0608848,38.3613369,38.2892607,train,218,Sivas➡Malatya
38.3613369,38.2892607,38.4896767,39.2001772,train,218,Malatya➡Elzaig
38.4896767,39.2001772,38.5047364,42.2530045,train,340,Elzaig➡Tatvan
38.5047364,42.2530045,38.0585058,46.0763682,train,424,Tatvan➡Tabriz
38.0585058,46.0763682,35.7484691,51.3488309,train,570,Tabriz➡Teheran
35.7484691,51.3488309,32.8482564,51.9773209,train,400,Teheran➡Isfahan
32.8482564,51.9773209,29.6714202,52.5818504,train,420,Isfahan➡Schiras
29.6714202,52.5818504,29.4776227,60.7731254,car,1100,Schiras➡Zahedan
29.4776227,60.7731254,30.1307156,66.9180274,car,1100,Zahedan➡Quetta
30.1307156,66.9180274,30.3509567,71.4663527,train,500,Quetta➡Multan
30.3509567,71.4663527,31.4673242,73.1044434,train,220,Multan➡Faisalabad
31.4673242,73.1044434,31.5398109,74.3121112,train,120,Faisalabad➡Lahore
31.5398109,74.3121112,33.6268901,73.051332,train,270,Lahore➡Islamabad
33.6268901,73.051332,36.7088445,74.6979499,car,682,Islamabad➡Sost
36.7088445,74.6979499,37.7739107,75.2267,car,120,Sost➡Tashkurgan
37.7739107,75.2267,39.467973,75.9773697,car,290,Tashkurgan➡Kaxgar
39.467973,75.9773697,41.1715273,80.1975997,car,467,Kaxgar➡Aksu
41.1715273,80.1975997,43.8205812,87.5590735,car,1000,Aksu➡Uruqmi
43.7512185,87.639027,42.9463564,89.1049203,car,174,Urumqi➡Turpan
42.9463564,89.1049203,36.0685555,103.8060697,train,1300,Turpan➡Langzhou
36.0685555,103.8060697,34.368544,108.9135007,train,600,Langzhou➡Xi'An
34.368544,108.9135007,39.9014596,116.3922133,train,1000,Xi'An➡Beijin
